date,Green,Yellow,Red
1998-01-01,16.166666666666668,1.3333333333333333,6.333333333333333
1998-01-02,21.333333333333332,1.5,1.1666666666666667
1998-01-03,23.5,0.5,
1998-01-04,21.833333333333332,1.5,0.6666666666666666
1998-01-05,9.166666666666666,1.8333333333333333,13.0
1998-01-06,5.833333333333333,0.3333333333333333,17.833333333333332
1998-01-07,17.666666666666668,6.333333333333333,
1998-01-08,24.0,,
1998-01-09,23.0,1.0,
1998-01-10,24.0,,
1998-01-11,24.0,,
1998-01-12,24.0,,
1998-01-13,24.0,,
1998-01-14,24.0,,
1998-01-15,24.0,,
1998-01-16,24.0,,
1998-01-17,24.0,,
1998-01-18,24.0,,
1998-01-19,24.0,,
1998-01-20,24.0,,
1998-01-21,21.166666666666668,2.8333333333333335,
1998-01-22,19.0,5.0,
1998-01-23,19.666666666666668,4.333333333333333,
1998-01-24,24.0,,
1998-01-25,24.0,,
1998-01-26,24.0,,
1998-01-27,24.0,,
1998-01-28,22.0,2.0,
1998-01-29,7.666666666666667,7.0,9.333333333333334
1998-01-30,14.0,9.333333333333334,0.6666666666666666
1998-01-31,24.0,,
1998-02-01,17.166666666666668,4.833333333333333,2.0
1998-02-02,13.5,1.5,9.0
1998-02-03,24.0,,
1998-02-04,17.5,1.6666666666666667,4.833333333333333
1998-02-05,9.5,3.3333333333333335,11.166666666666666
1998-02-06,14.5,7.0,2.5
1998-02-07,24.0,,
1998-02-08,24.0,,
1998-02-09,24.0,,
1998-02-10,24.0,,
1998-02-11,23.166666666666668,0.8333333333333334,
1998-02-12,24.0,,
1998-02-13,24.0,,
1998-02-14,24.0,,
1998-02-15,24.0,,
1998-02-16,23.0,1.0,
1998-02-17,24.0,,
1998-02-18,24.0,,
1998-02-19,24.0,,
1998-02-20,24.0,,
1998-02-21,15.833333333333334,1.6666666666666667,6.5
1998-02-22,14.5,4.833333333333333,4.666666666666667
1998-02-23,23.0,1.0,
1998-02-24,24.0,,
1998-02-25,18.5,5.0,0.5
1998-02-26,23.166666666666668,0.3333333333333333,0.5
1998-02-27,21.5,0.3333333333333333,2.1666666666666665
1998-02-28,22.5,0.5,1.0
1998-03-01,20.833333333333332,2.0,1.1666666666666667
1998-03-02,22.0,0.6666666666666666,1.3333333333333333
1998-03-03,14.0,6.0,4.0
1998-03-04,23.333333333333332,0.6666666666666666,
1998-03-05,23.666666666666668,0.3333333333333333,
1998-03-06,21.833333333333332,0.8333333333333334,1.3333333333333333
1998-03-07,21.666666666666668,1.0,1.3333333333333333
1998-03-08,18.833333333333332,2.1666666666666665,3.0
1998-03-09,21.0,0.6666666666666666,2.3333333333333335
1998-03-10,21.833333333333332,2.1666666666666665,
1998-03-11,22.5,1.0,0.5
1998-03-12,24.0,,
1998-03-13,24.0,,
1998-03-14,24.0,,
1998-03-15,24.0,,
1998-03-16,22.5,1.0,0.5
1998-03-17,23.5,0.5,
1998-03-18,8.0,11.666666666666666,4.333333333333333
1998-03-19,17.5,6.166666666666667,0.3333333333333333
1998-03-20,24.0,,
1998-03-21,14.0,7.833333333333333,2.1666666666666665
1998-03-22,13.833333333333334,8.166666666666666,2.0
1998-03-23,23.333333333333332,0.5,0.16666666666666666
1998-03-24,19.833333333333332,3.0,1.1666666666666667
1998-03-25,11.833333333333334,5.0,7.166666666666667
1998-03-26,15.833333333333334,6.0,2.1666666666666665
1998-03-27,13.166666666666666,2.5,8.333333333333334
1998-03-28,5.166666666666667,15.166666666666666,3.6666666666666665
1998-03-29,0.5,7.5,16.0
1998-03-30,0.3333333333333333,2.6666666666666665,21.0
1998-03-31,,0.3333333333333333,23.666666666666668
1998-04-01,1.0,7.5,15.5
1998-04-02,1.1666666666666667,13.666666666666666,9.166666666666666
1998-04-03,2.3333333333333335,5.666666666666667,16.0
1998-04-04,6.166666666666667,7.333333333333333,10.5
1998-04-05,22.0,1.1666666666666667,0.8333333333333334
1998-04-06,16.833333333333332,4.333333333333333,2.8333333333333335
1998-04-07,2.0,7.666666666666667,14.333333333333334
1998-04-08,20.0,1.5,2.5
1998-04-09,11.833333333333334,3.3333333333333335,8.833333333333334
1998-04-10,9.0,2.5,12.5
1998-04-11,13.166666666666666,3.8333333333333335,7.0
1998-04-12,20.833333333333332,1.0,2.1666666666666665
1998-04-13,12.0,4.166666666666667,7.833333333333333
1998-04-14,0.3333333333333333,3.5,20.166666666666668
1998-04-15,2.3333333333333335,12.5,9.166666666666666
1998-04-16,10.0,8.166666666666666,5.833333333333333
1998-04-17,21.833333333333332,0.6666666666666666,1.5
1998-04-18,23.666666666666668,0.16666666666666666,0.16666666666666666
1998-04-19,24.0,,
1998-04-20,24.0,,
1998-04-21,21.5,1.1666666666666667,1.3333333333333333
1998-04-23,19.333333333333332,0.6666666666666666,4.0
1998-04-24,19.166666666666668,2.3333333333333335,2.5
1998-04-25,19.0,1.5,3.5
1998-04-26,19.833333333333332,0.5,3.6666666666666665
1998-04-27,16.666666666666668,1.1666666666666667,6.166666666666667
1998-04-28,23.166666666666668,0.16666666666666666,0.6666666666666666
1998-04-29,24.0,,
1998-04-30,24.0,,
1998-05-01,24.0,,
1998-05-02,24.0,,
1998-05-03,22.833333333333332,1.1666666666666667,
1998-05-04,24.0,,
1998-05-05,24.0,,
1998-05-06,24.0,,
1998-05-07,24.0,,
1998-05-08,24.0,,
1998-05-09,24.0,,
1998-05-10,24.0,,
1998-05-11,21.666666666666668,2.3333333333333335,
1998-05-12,23.166666666666668,0.5,0.3333333333333333
1998-05-13,24.0,,
1998-05-14,23.5,0.16666666666666666,0.3333333333333333
1998-05-15,23.666666666666668,0.3333333333333333,
1998-05-16,24.0,,
1998-05-17,24.0,,
1998-05-18,22.0,1.1666666666666667,0.8333333333333334
1998-05-19,13.333333333333334,3.0,7.666666666666667
1998-05-20,12.5,4.333333333333333,7.166666666666667
1998-05-21,14.0,4.166666666666667,5.833333333333333
1998-05-22,12.166666666666666,6.166666666666667,5.666666666666667
1998-05-23,14.666666666666666,4.833333333333333,4.5
1998-05-24,18.333333333333332,5.5,0.16666666666666666
1998-05-25,6.666666666666667,7.0,10.333333333333334
1998-05-26,19.5,0.6666666666666666,3.8333333333333335
1998-05-27,22.333333333333332,0.6666666666666666,1.0
1998-05-28,24.0,,
1998-05-29,13.833333333333334,4.5,5.666666666666667
1998-05-30,12.5,9.0,2.5
1998-05-31,20.166666666666668,3.8333333333333335,
1998-06-01,14.833333333333334,9.166666666666666,
